SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,WORMS_NAME,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
CRYP,Cryptopleura spp.,.,CRYP,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Cryptopleura,143882,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,.,.
BF,Cryptopleura ruprechtiana,Grape Tounge,BF,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,AGGREGATED,Cryptopleura ruprechtiana,372561,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Botryoglossum,farlowianum
BF,Cryptopleura ruprechtiana,Grape Tounge,BF,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Cryptopleura ruprechtiana,372561,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Botryoglossum,farlowianum
CUSP,Cucumaria salma; Cucumaria miniata,.,CUSP,.,0.8,8,INVERT,QUAD,PLANKTIVORE,HARD,SESSILE,SOLITARY,Cucumaria,123479,Genus,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUSP,Cucumaria salma; Cucumaria miniata,.,CUSP,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Cucumaria,123479,Genus,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUMI,Cucumaria miniata,Red Sea Cucumber,CUMI,.,.,.,INVERT,QUAD,PLANKTIVORE,HARD,SESSILE,SOLITARY,Cucumaria miniata,225807,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUMI,Cucumaria miniata,Red Sea Cucumber,CUMI,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Cucumaria miniata,225807,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUPI,Cucumaria piperata,Salt and Pepper Cucumber,CUPI,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Cucumaria piperata,529459,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUSA,Cucumaria salma,.,CUSA,.,.,.,INVERT,QUAD,PLANKTIVORE,HARD,SESSILE,SOLITARY,Cucumaria salma,529193,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUSA,Cucumaria salma,.,CUSA,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Cucumaria salma,529193,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CAGG,Cymatogaster aggregata,Shiner Surfperch,CAGG,.,3,28,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Cymatogaster aggregata,280461,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,.,.
ES,Unidentified Demospongiae spp.,Encrusting sponge,ES,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Demospongiae,164811,Class,Animalia,Porifera,Demospongiae,.,.,.,.,.
