site,date_GMT,Mean_Hs_m,Max_Hs_m,latitude,longitude,datetime,month,year
ABUR,2000-03-30,0.46,0.6,34.400275,-119.7445915,2000-03-30,3,2000
ABUR,2000-03-31,0.28,0.4,34.400275,-119.7445915,2000-03-31,3,2000
ABUR,2000-10-01,0.26,0.32,34.400275,-119.7445915,2000-10-01,10,2000
ABUR,2000-10-02,0.2,0.24,34.400275,-119.7445915,2000-10-02,10,2000
ABUR,2000-10-03,0.18,0.2,34.400275,-119.7445915,2000-10-03,10,2000
ABUR,2000-10-04,0.14,0.16,34.400275,-119.7445915,2000-10-04,10,2000
ABUR,2000-10-05,0.14,0.17,34.400275,-119.7445915,2000-10-05,10,2000
ABUR,2000-10-06,0.18,0.19,34.400275,-119.7445915,2000-10-06,10,2000
ABUR,2000-10-07,0.16,0.18,34.400275,-119.7445915,2000-10-07,10,2000
ABUR,2000-10-08,0.13,0.14,34.400275,-119.7445915,2000-10-08,10,2000
ABUR,2000-10-09,0.13,0.16,34.400275,-119.7445915,2000-10-09,10,2000
ABUR,2000-10-10,0.21,0.25,34.400275,-119.7445915,2000-10-10,10,2000
ABUR,2000-10-11,0.24,0.26,34.400275,-119.7445915,2000-10-11,10,2000
ABUR,2000-10-12,0.16,0.22,34.400275,-119.7445915,2000-10-12,10,2000
ABUR,2000-10-13,0.11,0.12,34.400275,-119.7445915,2000-10-13,10,2000
ABUR,2000-10-14,0.14,0.16,34.400275,-119.7445915,2000-10-14,10,2000
ABUR,2000-10-15,0.15,0.2,34.400275,-119.7445915,2000-10-15,10,2000
ABUR,2000-10-16,0.13,0.14,34.400275,-119.7445915,2000-10-16,10,2000
ABUR,2000-10-17,0.11,0.12,34.400275,-119.7445915,2000-10-17,10,2000
ABUR,2000-10-18,0.18,0.22,34.400275,-119.7445915,2000-10-18,10,2000
ABUR,2000-10-19,0.19,0.22,34.400275,-119.7445915,2000-10-19,10,2000
ABUR,2000-10-20,0.12,0.14,34.400275,-119.7445915,2000-10-20,10,2000
ABUR,2000-10-21,0.11,0.13,34.400275,-119.7445915,2000-10-21,10,2000
ABUR,2000-10-22,0.34,0.43,34.400275,-119.7445915,2000-10-22,10,2000
ABUR,2000-10-23,0.2,0.3,34.400275,-119.7445915,2000-10-23,10,2000
ABUR,2000-10-24,0.16,0.18,34.400275,-119.7445915,2000-10-24,10,2000
ABUR,2000-10-25,0.26,0.31,34.400275,-119.7445915,2000-10-25,10,2000
ABUR,2000-10-26,0.38,0.48,34.400275,-119.7445915,2000-10-26,10,2000
ABUR,2000-10-27,0.34,0.48,34.400275,-119.7445915,2000-10-27,10,2000
ABUR,2000-10-28,0.14,0.2,34.400275,-119.7445915,2000-10-28,10,2000
ABUR,2000-10-29,0.23,0.45,34.400275,-119.7445915,2000-10-29,10,2000
ABUR,2000-10-30,0.44,0.46,34.400275,-119.7445915,2000-10-30,10,2000
ABUR,2000-10-31,0.3,0.42,34.400275,-119.7445915,2000-10-31,10,2000
ABUR,2000-11-01,0.16,0.2,34.400275,-119.7445915,2000-11-01,11,2000
ABUR,2000-11-02,0.15,0.18,34.400275,-119.7445915,2000-11-02,11,2000
ABUR,2000-11-03,0.17,0.2,34.400275,-119.7445915,2000-11-03,11,2000
ABUR,2000-11-04,0.13,0.14,34.400275,-119.7445915,2000-11-04,11,2000
ABUR,2000-11-05,0.16,0.19,34.400275,-119.7445915,2000-11-05,11,2000
ABUR,2000-11-06,0.17,0.19,34.400275,-119.7445915,2000-11-06,11,2000
ABUR,2000-11-07,0.2,0.25,34.400275,-119.7445915,2000-11-07,11,2000
ABUR,2000-11-08,0.28,0.37,34.400275,-119.7445915,2000-11-08,11,2000
ABUR,2000-11-09,0.29,0.36,34.400275,-119.7445915,2000-11-09,11,2000
ABUR,2000-11-10,0.23,0.27,34.400275,-119.7445915,2000-11-10,11,2000
ABUR,2000-11-11,0.2,0.22,34.400275,-119.7445915,2000-11-11,11,2000
ABUR,2000-11-12,0.15,0.18,34.400275,-119.7445915,2000-11-12,11,2000
ABUR,2000-11-13,0.2,0.24,34.400275,-119.7445915,2000-11-13,11,2000
ABUR,2000-11-14,0.24,0.26,34.400275,-119.7445915,2000-11-14,11,2000
