SITE,WINTER_MEAN_HS_M,WINTER_MAX_HS_M,LAT,LONG,YEAR
MOHK,0.813497268,1.89,34.3940708,-119.72957,2016
NAPL,0.907431694,2.27,34.4221216,-119.95154,2016
ABUR,0.567307692,1.99,34.400275,-119.7445915,2017
AHND,0.588516484,2.59,34.471817,-120.1426165,2017
AQUE,0.66521978,2.59,34.46774988,-120.11905,2017
BULL,0.624505495,2.41,34.45850533,-120.33349,2017
CARP,0.587802198,2.28,34.3916319,-119.5416933,2017
GOLB,0.431428571,1.85,34.4137165,-119.8221,2017
IVEE,0.570274725,2.1,34.402783,-119.85755,2017
MOHK,0.606648352,2.06,34.3940708,-119.72957,2017
NAPL,0.778736264,2.86,34.4221216,-119.95154,2017
ABUR,0.439285714,1.46,34.400275,-119.7445915,2018
AHND,0.464395604,1.85,34.471817,-120.1426165,2018
AQUE,0.513626374,2.16,34.46774988,-120.11905,2018
BULL,0.502197802,1.66,34.45850533,-120.33349,2018
CARP,0.454340659,1.63,34.3916319,-119.5416933,2018
GOLB,0.332527473,1.16,34.4137165,-119.8221,2018
IVEE,0.44456044,1.38,34.402783,-119.85755,2018
MOHK,0.473626374,1.56,34.3940708,-119.72957,2018
NAPL,0.552967033,1.69,34.4221216,-119.95154,2018
ABUR,0.507637363,1.58,34.400275,-119.7445915,2019
AHND,0.608956044,2.03,34.471817,-120.1426165,2019
AQUE,0.666758242,2.04,34.46774988,-120.11905,2019
BULL,0.658241758,2.16,34.45850533,-120.33349,2019
CARP,0.528516484,1.74,34.3916319,-119.5416933,2019
GOLB,0.409065934,1.26,34.4137165,-119.8221,2019
IVEE,0.517747253,1.55,34.402783,-119.85755,2019
MOHK,0.541428571,1.67,34.3940708,-119.72957,2019
NAPL,0.648626374,1.94,34.4221216,-119.95154,2019
ABUR,0.55726776,1.35,34.400275,-119.7445915,2020
AHND,0.515081967,1.64,34.471817,-120.1426165,2020
AQUE,0.565355191,1.68,34.46774988,-120.11905,2020
BULL,0.518797814,1.31,34.45850533,-120.33349,2020
CARP,0.551038251,1.24,34.3916319,-119.5416933,2020
GOLB,0.224153005,0.72,34.4137165,-119.8221,2020
IVEE,0.236830601,0.74,34.402783,-119.85755,2020
MOHK,0.589289617,1.43,34.3940708,-119.72957,2020
NAPL,0.326885246,0.95,34.4221216,-119.95154,2020
ABUR,0.581703297,1.9,34.400275,-119.7445915,2021
AHND,0.553901099,2.38,34.471817,-120.1426165,2021
AQUE,0.619615385,2.44,34.46774988,-120.11905,2021
BULL,0.558516484,2.36,34.45850533,-120.33349,2021
CARP,0.591538462,1.75,34.3916319,-119.5416933,2021
GOLB,0.260989011,1.04,34.4137165,-119.8221,2021
IVEE,0.276923077,1.39,34.402783,-119.85755,2021
MOHK,0.618571429,1.97,34.3940708,-119.72957,2021
NAPL,0.377472527,1.76,34.4221216,-119.95154,2021
ABUR,0.581153846,1.65,34.400275,-119.7445915,2022
AHND,0.516538462,2.15,34.471817,-120.1426165,2022
AQUE,0.575549451,2.19,34.46774988,-120.11905,2022
BULL,0.521758242,1.88,34.45850533,-120.33349,2022
CARP,0.588076923,1.55,34.3916319,-119.5416933,2022
GOLB,0.248791209,0.84,34.4137165,-119.8221,2022
IVEE,0.263131868,0.9,34.402783,-119.85755,2022
MOHK,0.615494505,1.71,34.3940708,-119.72957,2022
NAPL,0.360824176,1.16,34.4221216,-119.95154,2022
ABUR,0.655549451,2.55,34.400275,-119.7445915,2023
AHND,0.640934066,2.42,34.471817,-120.1426165,2023
AQUE,0.711208791,2.78,34.46774988,-120.11905,2023
BULL,0.639065934,2.57,34.45850533,-120.33349,2023
CARP,0.64978022,3.34,34.3916319,-119.5416933,2023
GOLB,0.268516484,1.93,34.4137165,-119.8221,2023
IVEE,0.285989011,2.1,34.402783,-119.85755,2023
MOHK,0.691428571,2.6,34.3940708,-119.72957,2023
NAPL,0.389945055,2.45,34.4221216,-119.95154,2023
ABUR,0.658743169,2.14,34.400275,-119.7445915,2024
AHND,0.616229508,2.63,34.471817,-120.1426165,2024
AQUE,0.681420765,2.76,34.46774988,-120.11905,2024
BULL,0.62284153,2.81,34.45850533,-120.33349,2024
CARP,0.668469945,3.19,34.3916319,-119.5416933,2024
GOLB,0.403278689,2.26,34.4137165,-119.8221,2024
IVEE,0.47579235,2.28,34.402783,-119.85755,2024
MOHK,0.690382514,0.69,34.3940708,-119.72957,2024
NAPL,0.608907104,2.45,34.4221216,-119.95154,2024
